Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Kosovo under UNSCR 1244,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Bermuda,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
United Kingdom (England and Wales),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Guinea-Bissau,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Indonesia,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2017,Prison (Admin)
